Numero de Bins [C(S*)],Tempo (segundos)
1.0,0.00001764
2.0,0.00002527
3.0,0.00005627
2.0,0.022709369659423828
2.0,0.015487909317016602
3.0,0.16148853302001953
6.0,1.7121188640594482
5.0,25.923401832580566
5.0,389.6833679676056
5.0,25.05237579345703
5.0,25.336119413375854
5.0,25.101622343063354
4.0,24.993215322494507
3.0,26.900248050689697
